Date,Sleep_Hours,Steps,Screen_Time,Workout,Mood,Productivity,Salary_In,Exp_Transport,Exp_Groceries,Exp_Leisure,Exp_Rent,Exp_Insurance
2025-10-01,5.9,10133,11.8,1,3,9,0,196.6,0.0,0.0,13000,0
2025-10-02,6.2,12686,11.6,0,4,9,0,224.33,0.0,0.0,0,0
2025-10-03,5.9,13880,10.3,0,3,9,0,195.44,0.0,0.0,0,0
2025-10-04,8.1,4129,8.6,1,4,3,0,80.25,854.79,1161.04,0,0
2025-10-05,7.6,5420,6.0,0,5,2,0,2.18,0.0,841.77,0,5500
2025-10-06,6.4,14571,11.5,1,4,6,0,149.66,0.0,0.0,0,0
2025-10-07,6.3,12083,11.6,0,3,9,0,204.24,0.0,0.0,0,0
2025-10-08,5.5,11034,11.4,1,3,7,0,174.55,0.0,0.0,0,0
2025-10-09,6.3,13494,10.8,0,4,6,0,168.47,0.0,0.0,0,0
2025-10-10,6.5,14925,11.3,0,4,9,0,217.84,0.0,0.0,0,0
2025-10-11,7.6,5552,8.7,1,4,5,0,15.3,1139.59,1263.14,0,0
2025-10-12,7.9,4003,8.8,0,5,4,0,92.29,0.0,1352.99,0,0
2025-10-13,5.6,14245,9.6,1,3,9,0,209.2,0.0,0.0,0,0
2025-10-14,6.1,10377,13.0,0,3,8,0,202.47,0.0,0.0,0,0
2025-10-15,5.7,14545,11.2,1,4,8,32500,216.81,0.0,0.0,0,0
2025-10-16,5.6,12907,12.0,0,3,9,0,225.75,0.0,0.0,0,0
2025-10-17,5.7,14276,10.2,0,3,9,0,192.76,0.0,0.0,0,0
2025-10-18,7.5,4753,6.5,1,5,5,0,81.4,974.94,1018.84,0,0
2025-10-19,7.8,4356,9.6,0,4,2,0,66.31,0.0,644.9,0,0
2025-10-20,5.8,12433,10.8,1,4,9,0,216.62,0.0,0.0,0,0
2025-10-21,6.5,14322,12.8,0,3,8,0,190.03,0.0,0.0,0,0
2025-10-22,5.9,12932,11.6,1,4,8,0,216.32,0.0,0.0,0,0
2025-10-23,6.0,11094,10.7,0,4,8,0,148.8,0.0,0.0,0,0
2025-10-24,6.4,11590,9.2,0,3,7,0,165.64,0.0,0.0,0,0
2025-10-25,8.2,5867,6.0,1,4,4,0,70.22,956.65,1393.87,0,0
2025-10-26,7.9,4850,7.3,0,5,3,0,63.67,0.0,1161.39,0,0
2025-10-27,5.9,14523,13.0,1,3,8,0,194.94,0.0,0.0,0,0
2025-10-28,6.1,12262,9.1,0,3,8,0,226.51,0.0,0.0,0,0
2025-10-29,5.5,10606,11.7,1,3,8,0,229.56,0.0,0.0,0,0
2025-10-30,5.6,11739,10.1,0,4,9,32500,204.01,0.0,0.0,0,0
2025-10-31,6.3,10180,9.4,0,3,7,0,206.29,0.0,0.0,0,0
2025-11-01,8.0,5009,9.7,1,5,3,0,98.62,1167.36,1349.62,13000,0
2025-11-02,8.2,4569,8.8,0,5,2,0,45.72,0.0,755.86,0,0
2025-11-03,6.5,14595,9.5,1,3,6,0,191.34,0.0,0.0,0,0
2025-11-04,6.4,11045,11.9,0,4,6,0,165.33,0.0,0.0,0,0
2025-11-05,6.1,10138,9.2,1,4,7,0,169.37,0.0,0.0,0,5500
2025-11-06,6.2,10263,12.1,0,4,7,0,164.86,0.0,0.0,0,0
2025-11-07,6.1,10349,9.3,0,3,7,0,196.87,0.0,0.0,0,0
2025-11-08,8.1,5314,9.0,1,4,4,0,32.66,814.62,885.29,0,0
2025-11-09,8.4,5892,7.8,0,5,2,0,0.0,0.0,1069.61,0,0
2025-11-10,6.0,14890,12.4,1,4,6,0,201.32,0.0,0.0,0,0
2025-11-11,6.3,11294,11.9,0,3,7,0,183.06,0.0,0.0,0,0
2025-11-12,5.5,14149,10.1,1,3,6,0,193.97,0.0,0.0,0,0
2025-11-13,5.9,12751,12.6,0,3,6,0,223.53,0.0,0.0,0,0
2025-11-14,6.0,10985,10.2,0,3,7,0,172.81,0.0,0.0,0,0
2025-11-15,8.4,5710,8.3,1,4,3,32500,96.23,679.8,1365.45,0,0
2025-11-16,8.5,5033,8.4,0,5,5,0,57.38,0.0,1480.67,0,0
2025-11-17,6.2,14486,11.0,1,4,6,0,179.52,0.0,0.0,0,0
2025-11-18,6.4,12363,12.9,0,4,9,0,162.51,0.0,0.0,0,0
2025-11-19,5.6,11363,12.7,1,4,9,0,184.59,0.0,0.0,0,0
2025-11-20,6.3,14229,12.3,0,3,6,0,227.2,0.0,0.0,0,0
2025-11-21,6.3,11899,12.8,0,3,8,0,171.44,0.0,0.0,0,0
2025-11-22,8.0,4626,9.5,1,4,5,0,87.41,1169.23,1327.71,0,0
2025-11-23,8.2,5729,8.6,0,4,3,0,32.61,0.0,842.04,0,0
2025-11-24,6.3,11997,11.2,1,4,9,0,219.94,0.0,0.0,0,0
2025-11-25,6.4,13398,11.2,0,3,8,0,177.23,0.0,0.0,0,0
2025-11-26,6.5,12479,11.8,1,4,7,0,165.53,0.0,0.0,0,0
2025-11-27,6.1,10256,10.3,0,3,8,0,192.64,0.0,0.0,0,0
2025-11-28,6.3,14354,10.7,0,3,9,0,172.46,0.0,0.0,0,0
2025-11-29,8.4,4818,6.5,1,5,3,0,20.75,613.46,1439.42,0,0
2025-11-30,8.5,4857,8.7,0,5,2,32500,15.33,0.0,785.11,0,0
2025-12-01,5.6,10959,11.5,1,4,7,0,170.27,0.0,0.0,13000,0
2025-12-02,5.6,12149,12.9,0,3,6,0,174.33,0.0,0.0,0,0
2025-12-03,6.1,11541,10.7,1,4,6,0,155.14,0.0,0.0,0,0
2025-12-04,5.8,13237,11.1,0,4,6,0,183.16,0.0,0.0,0,0
2025-12-05,5.6,13692,12.9,0,4,7,0,174.34,0.0,0.0,0,5500
2025-12-06,7.7,4629,9.1,1,4,4,0,76.67,1032.28,920.5,0,0
2025-12-07,8.2,4579,7.0,0,5,4,0,72.81,0.0,948.2,0,0
2025-12-08,6.4,11094,9.9,1,4,8,0,152.78,0.0,0.0,0,0
2025-12-09,6.5,12788,11.1,0,3,6,0,151.26,0.0,0.0,0,0
2025-12-10,6.2,13676,12.9,1,3,7,0,168.68,0.0,0.0,0,0
2025-12-11,6.2,10294,10.9,0,4,6,0,179.56,0.0,0.0,0,0
2025-12-12,5.7,13635,11.8,0,3,9,0,174.83,0.0,0.0,0,0
2025-12-13,7.8,5423,8.9,1,4,5,0,75.41,619.85,1436.96,0,0
2025-12-14,7.5,4001,7.3,0,5,3,0,80.18,0.0,807.04,0,0
2025-12-15,5.8,12599,10.8,1,4,8,32500,170.84,0.0,0.0,0,0
2025-12-16,6.3,11101,9.4,0,4,6,0,187.01,0.0,0.0,0,0
2025-12-17,5.9,14105,10.4,1,3,9,0,193.74,0.0,0.0,0,0
2025-12-18,6.3,13655,10.6,0,3,6,0,195.94,0.0,0.0,0,0
2025-12-19,5.7,14786,11.3,0,3,7,0,172.82,0.0,0.0,0,0
2025-12-20,7.6,5991,9.3,1,4,3,0,58.21,903.33,1467.98,0,0
2025-12-21,8.1,4482,9.0,0,5,2,0,72.39,0.0,1395.36,0,0
2025-12-22,6.1,10482,9.3,1,4,9,0,201.45,0.0,0.0,0,0
2025-12-23,5.7,11027,12.9,0,3,6,0,154.71,0.0,0.0,0,0
2025-12-24,5.5,14752,9.3,1,4,7,0,204.33,0.0,0.0,0,0
2025-12-25,6.0,11796,9.1,0,4,9,0,155.78,0.0,0.0,0,0
2025-12-26,5.9,14888,10.8,0,4,9,0,158.62,0.0,0.0,0,0
2025-12-27,7.8,5559,7.6,1,4,3,0,15.75,577.37,1462.1,0,0
2025-12-28,7.6,4659,9.6,0,4,2,0,68.32,0.0,1387.15,0,0
2025-12-29,5.8,10489,10.2,1,3,7,0,155.2,0.0,0.0,0,0
2025-12-30,5.7,10349,10.2,0,4,9,32500,186.14,0.0,0.0,0,0
2025-12-31,5.6,12253,9.9,1,3,7,0,210.3,0.0,0.0,0,0
